RUN INSTRUCTION:
To run the implementation, first start the REST server:
node dist/REST_API/rest.js
Then in another terminal, run the actual monte_carlo application:
node dist/monte_carlo.js -n 100

OUTPUT:

{'pomposity': 85.59, 'learning_curve': 91.34, 'optimism': 47.75, 'atleast': 4.74, 'done_percent': 6.71, 'productivity_new': 0.01, 'productivity_exp': 1.81, 'd': 1.00, 'ep': 5.25, 'nprod': 5.77, 'np': 29.79, 'ts': 65.11, 'to': 67.46, 'r': 787.70, 'verbose': False}
{'pomposity': 71.67, 'learning_curve': 82.35, 'optimism': 71.98, 'atleast': 8.97, 'done_percent': 0.13, 'productivity_new': 0.33, 'productivity_exp': 9.19, 'd': 0.54, 'ep': 5.05, 'nprod': 2.90, 'np': 20.23, 'ts': 31.54, 'to': 69.55, 'r': 694.25, 'verbose': False}
{'pomposity': 14.20, 'learning_curve': 68.81, 'optimism': 20.21, 'atleast': 7.76, 'done_percent': 2.91, 'productivity_new': 0.92, 'productivity_exp': 3.41, 'd': 0.39, 'ep': 7.28, 'nprod': 0.71, 'np': 1.72, 'ts': 96.09, 'to': 88.83, 'r': 998.92, 'verbose': False}
{'pomposity': 79.82, 'learning_curve': 18.88, 'optimism': 52.58, 'atleast': 6.41, 'done_percent': 8.36, 'productivity_new': 0.31, 'productivity_exp': 7.70, 'd': 0.83, 'ep': 3.99, 'nprod': 1.79, 'np': 1.06, 'ts': 35.10, 'to': 87.35, 'r': 44.30, 'verbose': False}
{'pomposity': 99.91, 'learning_curve': 92.46, 'optimism': 48.08, 'atleast': 3.32, 'done_percent': 1.81, 'productivity_new': 0.97, 'productivity_exp': 6.30, 'd': 0.16, 'ep': 6.07, 'nprod': 4.74, 'np': 24.85, 'ts': 58.59, 'to': 37.39, 'r': 18.30, 'verbose': False}
{'pomposity': 59.70, 'learning_curve': 22.38, 'optimism': 9.88, 'atleast': 7.38, 'done_percent': 4.18, 'productivity_new': 0.19, 'productivity_exp': 4.15, 'd': 0.79, 'ep': 1.23, 'nprod': 6.59, 'np': 3.20, 'ts': 30.61, 'to': 77.87, 'r': 567.26, 'verbose': False}
{'pomposity': 71.43, 'learning_curve': 28.79, 'optimism': 32.67, 'atleast': 9.31, 'done_percent': 1.27, 'productivity_new': 0.03, 'productivity_exp': 9.49, 'd': 0.05, 'ep': 3.69, 'nprod': 9.46, 'np': 1.11, 'ts': 94.77, 'to': 3.61, 'r': 269.57, 'verbose': False}
{'pomposity': 71.81, 'learning_curve': 91.10, 'optimism': 82.24, 'atleast': 4.94, 'done_percent': 6.85, 'productivity_new': 0.47, 'productivity_exp': 3.78, 'd': 0.69, 'ep': 8.28, 'nprod': 6.08, 'np': 23.94, 'ts': 47.35, 'to': 82.99, 'r': 203.20, 'verbose': False}
{'pomposity': 94.74, 'learning_curve': 32.93, 'optimism': 45.00, 'atleast': 8.04, 'done_percent': 1.30, 'productivity_new': 0.98, 'productivity_exp': 7.52, 'd': 0.04, 'ep': 4.41, 'nprod': 7.07, 'np': 27.03, 'ts': 75.24, 'to': 82.66, 'r': 634.60, 'verbose': False}
{'pomposity': 91.28, 'learning_curve': 1.23, 'optimism': 46.37, 'atleast': 5.14, 'done_percent': 5.21, 'productivity_new': 0.60, 'productivity_exp': 2.37, 'd': 0.67, 'ep': 8.75, 'nprod': 1.08, 'np': 24.43, 'ts': 91.82, 'to': 24.20, 'r': 371.32, 'verbose': False}
{'pomposity': 60.07, 'learning_curve': 93.67, 'optimism': 18.42, 'atleast': 4.74, 'done_percent': 8.54, 'productivity_new': 0.40, 'productivity_exp': 1.88, 'd': 0.87, 'ep': 4.16, 'nprod': 3.46, 'np': 27.49, 'ts': 56.56, 'to': 66.58, 'r': 550.74, 'verbose': False}
{'pomposity': 34.72, 'learning_curve': 83.22, 'optimism': 14.48, 'atleast': 1.68, 'done_percent': 0.69, 'productivity_new': 0.35, 'productivity_exp': 5.89, 'd': 0.47, 'ep': 5.16, 'nprod': 8.27, 'np': 21.30, 'ts': 99.39, 'to': 62.07, 'r': 115.72, 'verbose': False}
{'pomposity': 84.89, 'learning_curve': 11.25, 'optimism': 29.66, 'atleast': 7.17, 'done_percent': 9.96, 'productivity_new': 0.62, 'productivity_exp': 9.55, 'd': 0.71, 'ep': 6.98, 'nprod': 0.30, 'np': 9.85, 'ts': 42.05, 'to': 24.75, 'r': 168.95, 'verbose': False}
{'pomposity': 96.66, 'learning_curve': 67.67, 'optimism': 53.23, 'atleast': 6.07, 'done_percent': 5.99, 'productivity_new': 0.42, 'productivity_exp': 6.98, 'd': 0.07, 'ep': 1.12, 'nprod': 3.61, 'np': 24.81, 'ts': 53.73, 'to': 43.72, 'r': 390.08, 'verbose': False}
{'pomposity': 23.06, 'learning_curve': 19.68, 'optimism': 47.90, 'atleast': 2.53, 'done_percent': 9.18, 'productivity_new': 0.62, 'productivity_exp': 6.31, 'd': 0.55, 'ep': 2.68, 'nprod': 7.88, 'np': 25.41, 'ts': 66.33, 'to': 54.88, 'r': 100.44, 'verbose': False}
{'pomposity': 79.44, 'learning_curve': 31.50, 'optimism': 83.68, 'atleast': 4.37, 'done_percent': 0.55, 'productivity_new': 0.88, 'productivity_exp': 1.07, 'd': 0.78, 'ep': 5.78, 'nprod': 5.80, 'np': 6.77, 'ts': 98.07, 'to': 10.27, 'r': 158.47, 'verbose': False}
{'pomposity': 58.81, 'learning_curve': 15.72, 'optimism': 55.48, 'atleast': 6.46, 'done_percent': 7.23, 'productivity_new': 0.50, 'productivity_exp': 1.41, 'd': 0.82, 'ep': 4.97, 'nprod': 3.16, 'np': 3.89, 'ts': 21.07, 'to': 58.26, 'r': 620.41, 'verbose': False}
